date,positive_case 
1,1
2,3
3,6
4,10
5,11
6,11
7,12
8,16
9,19
10,22
11,24
12,29
13,32
14,37
15,40
16,42
17,48
18,54
19,68
20,75
21,83
22,95
23,97
24,110
25,123
26,130
27,152
28,179
29,193
30,209
31,221
32,226
33,250
34,272
35,293
36,318
37,344
38,383
39,409
40,430
41,456
42,483
43,498
44,511
45,525
46,552
47,572
48,588
49,610
50,629
51,637
52,661
53,683
54,696
55,717
56,731
57,743
58,757
59,771
60,792
61,805
62,822
63,829
64,833
65,840
66,846
67,863
68,881
69,903
70,915
71,925
72,939
73,957
74,972
75,977
76,991
77,1008
78,1015
79,1016
80,1020
81,1042
82,1045
83,1054
84,1061
85,1062
86,1069
87,1076
88,1091
89,1106
90,1116
91,1120
92,1126
93,1126
94,1133
95,1139
96,1145
97,1150
98,1160
99,1163
100,1163
101,1168
102,1181
103,1183
104,1198
105,1207
106,1216
107,1220
108,1223
109,1234
110,1229
111,1246
112,1258
113,1268
114,1271
115,1277
116,1285
117,1294
118,1301
119,1305
120,1311
121,1311
122,1321
123,1333
124,1340
125,1343
126,1353
127,1355
128,1360
129,1370
130,1385
131,1395
132,1410
133,1426
134,1426
135,1438
136,1439
137,1465
138,1486
139,1492
140,1498
141,1509
142,1512
143,1521
144,1531
145,1534
146,1548
147,1590
148,1591
149,1595
150,1610
151,1632
152,1642
153,1652
154,1653
155,1675
156,1679
157,1684
158,1705
159,1704
160,1715
161,1743
162,1751
163,1773
164,1780
165,1785
166,1788
167,1822
168,1825
169,1842
170,1861
171,1869
172,1895
173,1910
174,1924
175,1937
176,1944
177,1948
178,1953
179,1962
180,1968
181,1977
182,1992
183,1992
184,1992
185,2002
186,2018
187,2025
188,2033
189,2042
190,2042
191,2043
192,2043
193,2045
194,2066
195,2073
196,2079
197,2079
198,2079
199,2095
200,2107
201,2113
202,2123
203,2130
204,2130
205,2130
206,2137
207,2163
208,2175
209,2175
210,2193
211,2196
212,2196
213,2199
214,2218
215,2222
216,2227
217,2239
218,2238
219,2238
220,2253
221,2261
222,2274
223,2280
224,2288
225,2289
226,2289
227,2292
228,2311
229,2319
230,2331
231,2338
232,2339
233,2339
234,2357
235,2380
236,2384
237,2389
238,2396
239,2396
240,2396
241,2428
242,2438
243,2454
244,2463
245,2468
246,2468
247,2468
248,2484
249,2507
250,2526
251,2542
252,2552
253,2552
254,2552
255,2577
256,2594
257,2595
258,2619
259,2634
260,2638
261,2638
262,2661
263,2686
264,2704
265,2717
266,2738
267,2738
268,2738
269,2775
270,2807
271,2825
272,2825
273,2828
274,2828
275,2828
276,2895
277,2927
278,2979
279,3040
280,3062
281,3065
282,3065
283,3080
284,3102
285,3146
286,3075
287,3097
288,3043
289,3045
290,3084
291,3123
292,3139
293,3170
294,3168
295,3169
296,3170
297,3186
298,3214
299,3245
300,3268
301,3268
